Tenant,MallCount
LAMER,2
JETTS 24 HOURS FITNESS,2
CHILLING STYLE,2
ZELYN,2
TAKEO KIKUCHI,2
AZZARO,2
POLOTRAVEL CLUB,2
KRUNGTHAI BANK,2
MEZZO,2
LEE COOPER,2
AVEDA,2
GOLD MASTER ELECTRO,2
CHAPAYOM,2
FAIRTEX,2
COMFORT ZONE,2
GINTELL,2
HOLSTER,2
VIRGIN ACTIVE HEALTH CLUBS,2
SHOE STORY,2
THE SIS CLINIC,2
BAGNIFIQUE,2
ROBOROCK,2
SHANE ENGLISH SCHOOL THAILAND,2
FOOD PARK,2
MASERATI,2
DANDY COSMO,2
ONCE UPON A TIME,2
เตี๋ยวเรือเสาวรีย์,2
PASTEL MAGIC,2
MENG NUA NUA,2
RIVERSIDE MALA,2
CLAUDIA KLEID,2
DE PRECO,2
ABC COOKING STUDIO,2
LUZERN CLINIC,2
EARDOTS,2
GIANTLOOKCHINPLARABERD,2
AGLAM,2
KOREADONG THAILAND,2
HONGMIN,2
EVERBEST,2
AIAOON,2
FOTO FILE,2
OH! RICH,2
MONOWHEEL,2
LASSIE DECOR,2
SAYAM KINRI,2
ERGO,2
BLANC EYELASH SALON TOKYO,2
VOCALIZE SINGING ACADEMY,2
HONMONO,2
ATM TEA BAR,2
PEWDEE CLINIC,2
U CARE,2
ADIDAS FACTORY OUTLET,2
BEANS COFFEE ROASTER,2
BANANA NAIL,2
BABYBOTTE,2
POLO CLUB,2
SPARSHA SLIMMING CENTER,2
IT CITY MOBILE,2
SUNRISE TACOS,2
NOODLE GARDEN,2
DARAKA DIAMOND,2
POLO WORLD,2
SHEER BLISS,2
BOSS,2
AURA BANGKOK CLINIC,2
SAKULTHONG,2
MADAME HENG,2
EVERSINCE,2
ALUMNUS,2
KHUN CHAI BERRY,2
BABY BASKET,2
BANDAI KIDZ&KITZ,2
ELEMIS,2
BILLIONAIRE,2
LOCKNLOCK,2
MAISEN,2
GLAMOR,2
KHAO KHAICHIAO SONGKHRUEANG,2
LOUIS FONTAINE,2
PASSPORT,2
HI-SHIELD,2
JUICY COUTURE,2
TUCK PAD KAPHRAO TRAY GIANT,2
APPLE SHEEP,2
OCEAN HEROES,2
MATSUKIYO,2
JUST IN CASE,2
NEO SUKI,2
HAIR @ NAIL,2
ACTIKA,2
BAR B Q PLAZA,2
FOOTWEAR BY DAPPER,2
VALENTINO,2
MINIMELTS,2
YOLE,2
TUM MOUR,2
KISS ME DOLL,2
GAZE,2
LTD,2
TITANIA,2
KIDDY LAND,2
UOB,2
THONG SMITH,2
KHIANG,2
NITIPON,2
DOUBLE GOOSE,2
ON,2
REUNROM,2
I SERVICE,2
URANUS CLINIC,2
MILAROSE,2
AEON,2
CHEEVIT CHEEVA,2
RUBBER SOUL,2
CHRISTIANA,2
PLOEN POONG,2
SAMSONITE RED,2
HEALTH UP,2
WASHI,2
EASTMAN,2
PET 'N ME,2
VIKTOR&ROLF,2
OISHI BIZTORO,2
PRIME BURGER THAILAND,2
BAAN ICE,2
CENTRAL LOVE THE EARTH,2
ELLE HOMME,2
CHIVAROME,2
ห้างทองเยาวราชกรุงเทพ,2
NB NICE BODY,2
BABY GIFT,2
DAKGALBI,2
TONKATSU WAKO,2
TUMRUBTHAI,2
ISTUDIO BY SPVI,2
CHABA NAILS & BROWS,2
FUN STATION,2
VILLAINS SF,2
I SHOP,2
BIOTHERM,2
CARLABEROTTI,2
ROYAL SPA,2
ไปรษณีย์ไทย,2
KUAY TIEW JEANG LOOK CHIN PLA,2
BAAN CAKE BY NUNAN,2
KHONG KWAN CLINIC,2
INTHANIN COFFEE,2
PLAYSOUND,2
TOCCO TOSCANO,2
DR.KONG,2
DRAGCURA,2
PAOPA,2
NOOYOO,2
I CONNECT,2
SOLITAIRE,2
THAI DENMARK,2
MODULO,2
SUPERB BRANDNAME,2
LUSH FRESH HANDMADE COSMETICS,2
HAPPY PIG,2
DR. TAT OFF & HAIR REMOVAL LASER CLINIC,2
AMERICAN TOURISTER,2
LETAO,2
PANPURI,2
SILHOUETTE,2
MUGLER,2
VERRA,2
SUGAR FAMILY,2
ARENA,2
DANIEL HECHTER,2
MOPLAY,2
HOUSE OF SHOES BY HEAVY SHOES,2
SAINT ETOILE,2
HYBRID,2
CK,2
COOL LIVING,2
ROBOTHINK,2
MEMORIZE BROWNIE,2
PAUL FRANK,2
TIME CARE SHOP,2
LUXEQUEEN,2
TREND,2
MCM,2
BEARD PAPA'S,2
THE BIBIMBAB,2
BOSE,2
PROMAN,2
NARS,2
CAGGIONI,2
T.TIME,2
V SQUARE,2
SQUEEZE BY TIPCO,2
NF PHONE,2
SUSHI RICHA,2
ISTUDIO,2
ZAPLAI,2
BYD,2
SERVICE,2
KRUNGTHAI,2
YAAK SHOP,2
CHATERAISE,2
K LOVE PHONE,2
JOJI SECRET YOUNG,2
PENDULUM,2
TAMNAK THONG 5,2
GORILLA,2
LEGO,2
PIM @ POST,2
TIME ZONE,2
OKII KATSU,2
TRIUMPH,2
RAJDHEVEE CLINIC,2
TUMMOUR EXPRESS,2
ORIENT,2
EASY MONEY SHOP,2
VIVO SERVICE,2
MAURICE LACROIX,2
SFERA,2
HITORI SHABU,2
DELIVERY FEE,2
OTTERI,2
TUMI,2
SF BRAND NAME,2
KARDINA ANDRIA,2
LUIGI BATANI,2
YAMADA,2
CURIOO,2
YALE SMART SHOP,2
CLICK CLACK,2
PORTLAND,2
TWENTY SEVEN,2
FREDERIQUE CONSTANT,2
CLAUDIA KLEID WEEKEND,2
DEVY,2
HARUKI,2
HACHIBAN,2
BIG MAC DIGITAL PRINTING,2
BANILA CO.,2
SIMPLICITY,2
BREO,2
INTRENDMALL,2
BUJEONG CLINIC,2
CHOLE,2
I SMART,2
KA-NOM,2
MK LIVE,2
LE COQ SPORTIF,2
BANGKOK DANCE ACADEMY,2
YUZU SUKI,2
CHUNN,2
DRAGON X,2
TALIA,2
YAMADAYA,2
ITALASIA,2
KARL LAGERFELD,2
FIXI FOOT,2
SPEED GAMING,2
WESTERN UNION,2
COPEL,2
JEAN PAUL GAULTIER,2
JAYMART IOT,2
BUN,2
PALFISH CLASS,2
HUGO BOSS,2
OASIS,2
NIXON,2
WAKASHI,2
MONARCH,2
ROVING FOX,2
JOCKEY,2
MATCHBOX,2
IRON PAN,2
SOUTHERN COFFEE,2
SFX CINEMA,2
EMPORIO ARMANI,2
THE ICON,2
CANTEEN,2
NITORI,2
HANKY HOUSE,2
LAB X,2
IT BY IT CITY,2
TTB,2
VICTORIA'S SECRET,2
LUNA,2
DR. SMOOTH LIFE,2
MELISSA CLUBE,2
VITSAVA NOODLE,2
