Tenant,Eigenvector
AKALIKO,0.014694754492359267
KRUNGSRI FIRST CHOICE,0.014683895571340965
CLOUDY,0.01467617815506046
ADDA,0.014666293004363227
MAMIL,0.01451795557305765
TINY LOVE,0.01451077428083157
JIMMY CHOO,0.014428331262219679
GOLD MASTER ELECTRO,0.014371212969031615
ELEPH,0.01431283173875178
HARUKI,0.014269911106251714
SOUL SENSE,0.014268056050086953
SARAMANDA,0.014265063354557973
ANGELINO RUFOLO,0.014170855463484958
TUMRABTHAI,0.014170504049025211
BEBE PHONE,0.014126045580493508
MARCO SPADE,0.01407475265768426
THE ROLLING PINN,0.01403348061787007
RUBY STUDIO,0.01402589720653063
S&P SIMPLY DELICIOUS,0.01400211132556703
KEEN,0.01397788807782046
FOCUS STORE,0.013931376074345067
YUMEYA,0.013929161987571319
HER HYNESS,0.013842316190260169
CRUZY,0.01381481164589072
HONOR,0.013726013057118906
MONARCH,0.013670324250091546
น้ำเต้าหู้ปูปลา,0.013643006789502424
Maitreechit,0.013630978249598096
SOLSOT,0.013630208070864677
ROYAL YACHT CLUB,0.013605894613466504
MUSIC COLLECTION,0.013565268295801151
CANTEEN,0.013502025034421007
P&F,0.013484034666925495
GREENLIGHT,0.013465833660967416
BENEFIT,0.013465833660967414
CMP,0.013450043320345396
PAUL MARC,0.013424690556985329
KOFUKU,0.013382739910427675
BALMUDA,0.013367916124308828
KEEPPLEY,0.013365879332340375
ROYAL PORCELAIN,0.013365879332340373
DJI,0.013360232414583628
