Tenant,CompositeScore,GNN_Prediction,Category
COCORO HANAKO,0.03340225,0.04103811,Central Department Store
ECLIPSE,0.03340225,0.04103811,Central Department Store
IWAKI,0.03340225,0.04103811,Central Department Store
TOVOLO,0.03340225,0.041038107,Central Department Store
APPLE MONKEY,0.03340225,0.041038107,Central Department Store
LUSTRO WARE,0.036069915,0.039388202,Central Department Store
PHYTO,0.032730248,0.038667746,Central Department Store
LA PRAIRIE,0.034397777,0.037056543,Central Department Store
MARIA VICTORIA,0.027626151,0.03563881,Central Department Store
NS,0.03379046,0.033958152,Central Department Store
TENMA,0.03379046,0.033958152,Central Department Store
WONDERWORLD,0.03379046,0.033958152,Central Department Store
SOLEX,0.03379046,0.033958152,Central Department Store
PLAYMOBIL CR,0.029846463,0.03394868,Central Department Store
RONA,0.037739065,0.03372173,Central Department Store
FFASHION,0.037739065,0.03372173,Central Department Store
MELLOW,0.037739065,0.03372173,Central Department Store
CHEFN,0.037739065,0.03372173,Central Department Store
CHABATREE,0.035188347,0.033279978,Central Department Store
SPORTY & RICH,0.003614631,0.032834016,Central Department Store
WARDROBE MINISTRY,0.003614631,0.032834016,Central Department Store
DS,0.039466385,0.032723263,Central Department Store
UNDERGROUND SALE,0.032535117,0.03224075,Central Department Store
TANDY,0.04345012,0.032231852,Central Department Store
VALERA,0.031058434,0.030776113,Central Department Store
LAUGH,0.027071388,0.030558757,Central Department Store
INFINITER,0.035316423,0.02974433,Central Department Store
TASTY MATE,0.034959383,0.029526833,Central Department Store
BABY&CO,0.035228055,0.029526833,Central Department Store
MASTRAD,0.034959383,0.029526833,Central Department Store
MILK PLUS & MORE,0.034959383,0.029526833,Central Department Store
MISTER FOX,0.034959383,0.029526833,Central Department Store
VCARE,0.034959383,0.029526833,Central Department Store
STEPHEN JOSEPH,0.023231816,0.028168574,Central Department Store
PETYE,0.023231816,0.028168574,Central Department Store
ECLAT,0.02739949,0.027480528,Central Department Store
TIMBERLAND,0.029478023,0.026002862,Central Department Store
MIX ME,0.024655232,0.025527798,Central Department Store
ANOLON,0.028145034,0.023852717,Central Department Store
MITSUMARU,0.028145034,0.023852717,Central Department Store
WONDERCHILD,0.028145034,0.023852717,Central Department Store
ELLE DECOR,0.028145034,0.023852717,Central Department Store
SWAN,0.012450273,0.023515195,Central Department Store
ROSEGREEN,0.023544151,0.023331068,Central Department Store
JETRIYA,0.024668047,0.022094734,Central Department Store
CBG DEVICES,0.019361297,0.02188623,Central Department Store
MOODS,0.019361297,0.02188623,Central Department Store
PEPPA PIG HASBRO KIDDO,0.019527487,0.018897988,Central Department Store
CRITICAL SLIDE,0.016749136,0.017954722,Central Department Store
MELISSA,0.017579122,0.017164614,Central Department Store
MONOBO,0.00817652,0.014712572,Central Department Store
JOG,0.012385296,0.014621593,Central Department Store
YODYOKO,0.012519631,0.014621593,Central Department Store
@SEA,0.012385296,0.014621593,Central Department Store
ISOMARE,0.012385296,0.014621593,Central Department Store
ANUROJ,0.012385296,0.014621593,Central Department Store
COOL X MINIMAL,0.012385296,0.014621593,Central Department Store
360SWIM,0.012385296,0.014621593,Central Department Store
LUCKY,0.0067901174,0.01338353,Central Department Store
O&B,0.0043579363,0.011286132,Central Department Store
KENNETH COLE,0.0043579363,0.011286132,Central Department Store
GEOX,0.0043579363,0.011286132,Central Department Store
TOP MODEL,0.011521799,0.009706572,Central Department Store
COOL MAKER,0.011521799,0.009706572,Central Department Store
ONLY ORGANIC,0.011656134,0.009706572,Central Department Store
MANFAIR,0.011521799,0.009706572,Central Department Store
KIDZ & KITZ,0.011521799,0.009706572,Central Department Store
TAI TIER,0.010533504,0.009031754,Central Department Store
BANGKOK BOOTERY,0.010533504,0.009031754,Central Department Store
EMILIO VALENTINO,0.016369747,0.008491993,Central Department Store
PAUL SMITH,0.0150267985,0.005753115,Central Department Store
KENZO,0.0015404613,0.002991598,Central Department Store
BOSS,0.0015404613,0.002991598,Central Department Store
WELB BABY MAT,0.010393881,0.0029673688,Central Department Store
BEAUTY UNIQUE,0.0012760402,0.0016983543,Central Department Store
NICHIWORLD,0.0015851316,0.00068470836,Central Department Store
